Age,Gender,Daily_Usage_Hours,Addiction_Level,Tracked_Hours,Untracked_Hours,Leisure_Hours,Leisure_Ratio,Education_Ratio,Social_vs_Gaming,Weekend_Escalation,Weekend_Ratio,Minutes_Per_Check,Checks_Per_App,Hours_Per_App,Sleep_Deficit,Screen_To_Sleep_Ratio,Bedtime_Screen_Share,Offline_Activity,Online_To_Offline_Ratio,Family_To_Screen_Ratio,Anxiety_Level_z,Depression_Level_z,Self_Esteem_z,Distress_Index,Academic_Per_Usage,Unsupervised_Usage,Grade_Num
13,0,4.0,10.0,6.5,-2.5,5.3,1.325,0.3,1.9000000000000001,4.699999999999999,2.175,2.7906976744186047,4.526315789473684,0.21052631578947367,2.9000000000000004,0.6557377049180328,0.35,5.1,0.7843137254901962,1.0,1.52559370687402,-0.856794066898767,0.8576992306866383,-0.5232994106990119,19.5,4.0,9
17,0,5.5,10.0,6.8999999999999995,-1.3999999999999995,5.1,0.9272727272727272,0.32727272727272727,-2.9,-0.20000000000000018,0.9636363636363636,3.4375,10.666666666666666,0.6111111111111112,2.5,0.8461538461538461,0.16363636363636364,6.040666666666667,0.9104955302946695,0.36363636363636365,-0.8959836056244244,0.536178267850617,-0.8900916211405011,0.7101889522535973,12.727272727272727,5.5,7
13,2,5.8,9.2,2.2,3.5999999999999996,1.8,0.3103448275862069,0.06896551724137931,-1.2,-0.09999999999999964,0.9827586206896552,2.54014598540146,17.125,0.725,3.5,1.0545454545454545,0.08620689655172414,8.8,0.6590909090909091,1.0344827586206897,-1.2419232216956309,-0.856794066898767,1.556815571417494,-2.606174215714693,16.03448275862069,5.8,11
18,0,3.1,9.8,5.5,-2.4,4.7,1.5161290322580645,0.25806451612903225,1.5,-0.10000000000000009,0.9677419354838709,1.453125,18.285714285714285,0.4428571428571429,5.1,0.7948717948717949,0.4516129032258064,9.6,0.3229166666666667,2.5806451612903225,1.1796540908028137,1.580907518912655,-0.8900916211405011,2.2703724259982354,25.161290322580644,3.1,12
14,2,2.5,8.6,4.6,-2.0999999999999996,3.5,1.4,0.44000000000000006,1.7000000000000002,1.2000000000000002,1.48,1.5625,4.8,0.125,2.3,0.3731343283582089,0.4,5.1,0.4901960784313726,4.0,-1.5878628377668371,-0.16030789952407506,-1.5892079618713568,0.7151225932259008,22.4,2.5,9
13,0,3.9,8.8,6.725266666666666,-2.8252666666666664,5.325266666666666,1.3654529914529914,0.358974358974359,2.2747333333333337,2.1,1.5384615384615385,1.7333333333333334,16.875,0.4875,2.7,0.6190476190476191,0.2820512820512821,3.7,1.054054054054054,1.794871794871795,0.487774858660401,-1.553280234273459,-0.8900916211405011,0.35733893333397204,22.82051282051282,3.9,10
16,1,6.3,10.0,5.5,0.7999999999999998,4.5,0.7142857142857143,0.15873015873015872,-0.9000000000000001,1.5,1.2380952380952381,2.9302325581395348,14.333333333333334,0.7,2.3,0.9402985074626865,0.126984126984127,3.9,1.6153846153846154,1.1111111111111112,0.14183524258919467,0.536178267850617,1.2072574010520662,-0.8682506458321604,14.126984126984127,6.3,11
13,2,5.1,8.0,4.4,0.6999999999999993,3.9,0.7647058823529412,0.09803921568627452,0.6999999999999997,2.9000000000000004,1.5686274509803924,9.0,4.857142857142857,0.7285714285714285,2.9000000000000004,0.8360655737704918,0.19607843137254904,4.2,1.2142857142857142,1.7647058823529413,-0.2041043734820117,0.18793518416327093,0.8576992306866383,-0.8657838253460087,13.725490196078432,5.1,10
13,1,3.0,7.3,6.2,-3.2,4.9,1.6333333333333335,0.43333333333333335,0.5,6.1,3.033333333333333,2.5714285714285716,5.384615384615385,0.23076923076923078,0.0,0.32967032967032966,0.3,6.897666666666667,0.4349296863673706,3.3333333333333335,-1.5878628377668371,0.536178267850617,0.1585828899557825,-0.6844251749138927,26.333333333333332,3.0,8
18,2,3.9,9.1,4.1,-0.19999999999999973,3.1,0.7948717948717949,0.25641025641025644,2.3000000000000003,-1.0,0.7435897435897436,1.9338842975206612,9.307692307692308,0.3,3.2,0.6724137931034483,0.23076923076923078,9.1,0.4285714285714286,2.307692307692308,1.1796540908028137,-1.553280234273459,1.2072574010520662,-1.394070472787389,22.82051282051282,3.9,11
18,0,4.9,10.0,4.5,0.40000000000000036,3.7,0.7551020408163265,0.16326530612244897,2.5,-1.4000000000000004,0.7142857142857142,3.5,4.2,0.24500000000000002,2.0,0.7000000000000001,0.12244897959183672,5.6,0.8750000000000001,1.2244897959183672,-0.5500439895532181,-0.856794066898767,-1.239649791505929,0.5362307632799365,15.102040816326529,4.9,12
14,1,1.6,9.8,5.6,-3.9999999999999996,4.6,2.8749999999999996,0.625,-0.8000000000000003,1.6,2.0,0.6530612244897959,8.166666666666666,0.08888888888888889,3.0999999999999996,0.2711864406779661,0.5625,11.5,0.1391304347826087,4.375,1.52559370687402,0.8844213515379629,0.8576992306866383,0.3473082985193531,43.75,1.6,11
19,0,7.4,10.0,5.1000000000000005,2.3,4.7,0.6351351351351351,0.05405405405405406,3.9,1.6999999999999993,1.2297297297297296,7.52542372881356,3.1052631578947367,0.38947368421052636,3.2,1.2758620689655173,0.14864864864864866,4.6,1.6086956521739133,1.081081081081081,-0.5500439895532181,1.2326644352253089,-0.8900916211405011,1.2314018439765464,9.45945945945946,7.4,10
17,0,8.7,10.0,7.0,1.6999999999999993,5.5,0.632183908045977,0.1724137931034483,2.9000000000000004,-4.1,0.5287356321839081,6.868421052631579,9.5,1.0875,3.5,1.5818181818181818,0.08045977011494253,7.9,1.10126582278481,0.574712643678161,-1.2419232216956309,0.8844213515379629,-1.239649791505929,1.060898856427095,10.919540229885058,0.0,9
15,2,6.4,10.0,7.216333333333333,-0.8163333333333327,6.2,0.96875,0.15880208333333332,3.8,-0.8000000000000007,0.8749999999999999,7.68,3.5714285714285716,0.4571428571428572,0.5,0.7529411764705882,0.078125,4.040666666666667,1.583897046691965,0.78125,-1.2419232216956309,0.8844213515379629,1.2072574010520662,-1.3860083361309004,12.34375,0.0,12
19,2,4.4,10.0,5.5,-1.0999999999999996,3.7,0.8409090909090908,0.40909090909090906,0.7000000000000002,2.3999999999999995,1.5454545454545452,1.9701492537313432,7.882352941176471,0.25882352941176473,2.4000000000000004,0.6666666666666667,0.2727272727272727,7.6,0.5789473684210527,0.9090909090909091,0.8337144747316073,1.580907518912655,-0.5405334507750732,1.7478444475972044,22.045454545454543,0.0,11
15,0,5.4,10.0,5.0,0.40000000000000036,3.9000000000000004,0.7222222222222222,0.20370370370370372,1.3,-4.0,0.25925925925925924,9.0,1.8,0.27,1.2000000000000002,0.6923076923076924,0.16666666666666666,6.3,0.8571428571428572,1.6666666666666665,0.14183524258919467,0.18793518416327093,1.2072574010520662,-1.0423721876758334,16.11111111111111,5.4,8
15,2,3.0,10.0,5.1000000000000005,-2.1000000000000005,4.9,1.6333333333333335,0.06666666666666667,1.1,4.5,2.5,1.894736842105263,5.9375,0.1875,2.9000000000000004,0.49180327868852464,0.39999999999999997,6.4,0.46875,2.3333333333333335,-1.5878628377668371,-0.508550983211421,-1.239649791505929,0.19144288101680007,26.666666666666668,0.0,10
19,0,7.9,10.0,5.3999999999999995,2.500000000000001,4.1,0.5189873417721518,0.16455696202531644,0.30000000000000027,-4.4,0.4430379746835443,8.172413793103448,6.444444444444445,0.8777777777777778,0.5,0.9294117647058824,0.12658227848101264,6.1,1.2950819672131149,0.6329113924050632,-0.2041043734820117,-1.205037150586113,-0.5405334507750732,-0.16403731125898913,12.151898734177214,0.0,9
18,1,5.4,10.0,3.0,2.4000000000000004,2.6,0.48148148148148145,0.07407407407407407,0.6000000000000001,0.6999999999999993,1.1296296296296295,3.9036144578313254,4.368421052631579,0.28421052631578947,3.0999999999999996,0.9152542372881356,0.1111111111111111,5.3,1.0188679245283019,1.2962962962962963,-1.2419232216956309,0.536178267850617,0.8576992306866383,-1.2105717076091453,12.777777777777777,5.4,12
15,0,3.0,6.2,5.4,-2.4000000000000004,3.4,1.1333333333333333,0.6666666666666666,0.0,3.7,2.2333333333333334,3.103448275862069,9.666666666666666,0.5,3.9000000000000004,0.5882352941176471,0.5,5.1,0.5882352941176471,2.6666666666666665,-1.5878628377668371,1.2326644352253089,-0.5405334507750732,0.3629342495043091,27.666666666666668,0.0,12
16,0,2.7,9.9,5.6000000000000005,-2.9000000000000004,4.7,1.7407407407407407,0.3333333333333333,-0.5,3.0,2.111111111111111,1.4464285714285714,6.588235294117647,0.15882352941176472,2.7,0.4285714285714286,0.6296296296296295,4.4,0.6136363636363636,3.7037037037037033,-1.2419232216956309,1.2326644352253089,-0.8900916211405011,0.8854622279053401,34.07407407407407,0.0,12
14,2,2.7,9.5,4.0,-1.2999999999999998,3.8,1.4074074074074072,0.07407407407407407,1.2,2.0999999999999996,1.7777777777777777,1.3846153846153846,7.3125,0.16875,3.9000000000000004,0.5294117647058825,0.6296296296296295,10.040666666666667,0.2689064471150654,1.8518518518518516,-0.5500439895532181,0.18793518416327093,-1.239649791505929,1.0585953888109554,22.22222222222222,2.7,11
19,1,6.9,10.0,4.5,2.4000000000000004,3.3,0.47826086956521735,0.17391304347826086,0.7,-0.3000000000000007,0.9565217391304347,12.9375,4.571428571428571,0.9857142857142858,5.4,1.9166666666666667,0.11594202898550725,6.0,1.1500000000000001,1.0144927536231882,-0.2041043734820117,-0.16030789952407506,1.556815571417494,-1.7390217079205375,11.44927536231884,0.0,9
19,2,4.6,6.0,3.7,0.8999999999999995,2.6,0.5652173913043479,0.23913043478260873,1.0,1.6000000000000005,1.347826086956522,3.887323943661972,14.2,0.9199999999999999,1.7999999999999998,0.6388888888888888,0.23913043478260873,8.3,0.5542168674698794,1.7391304347826089,0.487774858660401,0.18793518416327093,-0.5405334507750732,0.8783884721869092,18.47826086956522,4.6,12
